,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
0,1,Las Vegas Strip mass shooting,"Las Vegas, NV",2017-10-01,,58,527,585,Unclear,White,M,36.181271,-115.13413200000001,2017,10,39,Sunday
1,2,San Francisco UPS shooting,"San Francisco, CA",2017-06-14,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Yes,Asian,M,,,2017,6,24,Wednesday
2,3,Pennsylvania supermarket shooting,"Tunkhannock, PA",2017-06-07,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Unclear,White,M,,,2017,6,23,Wednesday
3,4,Florida awning manufacturer shooting,"Orlando, Florida",2017-06-05,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Unclear,,M,,,2017,6,23,Monday
4,5,Rural Ohio nursing home shooting,"Kirkersville, Ohio",2017-05-12,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,Yes,White,M,,,2017,5,19,Friday
5,6,Fresno downtown shooting,"Fresno, California",2017-04-18,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Unclear,Black,M,,,2017,4,16,Tuesday
6,7,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",2017-01-06,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. ",5,6,11,Yes,Latino,M,,,2017,1,1,Friday
7,8,Cascade Mall shooting,"Burlington, WA",2016-09-23,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy???s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,Yes,,M,,,2016,9,38,Friday
8,9,Baton Rouge police shooting,"Baton Rouge, LA",2016-07-17,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Yes,Black,M,,,2016,7,28,Sunday
9,10,Dallas police shooting,"Dallas, Texas",2016-07-07,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Unclear,Black,M,,,2016,7,27,Thursday
10,11,Orlando nightclub massacre,"Orlando, Florida",2016-06-12,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Unclear,Other,M,,,2016,6,23,Sunday
11,12,"Ferguson, MO Drive by","Ferguson, Missouri",2016-04-29,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,Unknown,Unknown,Unknown,38.744217,-90.305391,2016,4,17,Friday
12,13,"Forestville, Maryland Drive-by",,2016-04-26,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,Unknown,Unknown,Unknown,38.845113,-76.874972,2016,4,17,Tuesday
13,14,"Halifax County, VA",,2016-04-24,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,Unknown,Black American or African American,Male,36.765971,-78.928344,2016,4,16,Sunday
14,15,Tire-Slashing revenge escalation,,2016-04-21,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,Unknown,Black American or African American,Male,39.290385,-76.612189,2016,4,16,Thursday
15,16,Chicago Rap video Shootout,,2016-04-19,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,Unknown,Unknown,Unknown,41.878114000000004,-87.629798,2016,4,16,Tuesday
16,17,Texas family murder-suicide,,2016-04-19,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,Unknown,White American or European American,Male,29.785784999999997,-95.824396,2016,4,16,Tuesday
17,18,Alabama highway random shooting,,2016-04-19,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,Yes,White American or European American,Male,34.162040000000005,-86.475543,2016,4,16,Tuesday
18,19,Long Beach Street murder,,2016-04-18,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,Unknown,Unknown,Unknown,33.77005,-118.193739,2016,4,16,Monday
19,20,"Albuquerque, NM House party shooting",,2016-04-09,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,Unknown,White American or European American,Male,35.085334,-106.605553,2016,4,14,Saturday
20,21,"Memphis, TN gas station shooting",,2016-04-09,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,Unknown,Unknown,Unknown,35.149534,-90.04898,2016,4,14,Saturday
21,22,Chicago Birthday Party Bus Shooting,,2016-04-07,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,Unknown,Unknown,Unknown,41.878114000000004,-87.629798,2016,4,14,Thursday
22,23,"Albuquerque, NM Family restaurant shooting",,2016-04-01,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,Unknown,Asian American,Male,35.085334,-106.605553,2016,4,13,Friday
23,24,"Richmond, Virginia","Richmond, Virginia",2016-03-31,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper?s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,Unknown,Black American or African American,Male,37.540725,-77.436048,2016,3,13,Thursday
24,25,"Louisburg, North Carolina","Louisburg, North Carolina",2016-03-26,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday ? the day before the shootings.",3,0,3,Unknown,Black American or African American,Male,36.099039000000005,-78.301106,2016,3,12,Saturday
25,26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",2016-03-25,The man was suspected of shooting his wife and two sons on Friday morning at the family?s home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,Unknown,Unknown,Male,35.242302,-87.334739,2016,3,12,Friday
26,27,"Greenhill, AL Family murder-suicide",,2016-03-25,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,Yes,White American or European American,Male,34.759257,-86.60249300000001,2016,3,12,Friday
27,28,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",2016-03-21,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,Unknown,Unknown,Male,33.635661999999996,-96.60888,2016,3,12,Monday
28,29,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",2016-03-20,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,Yes,White American or European American,Male,38.252665,-85.75845600000001,2016,3,11,Sunday
29,30,"Plantation, Florida","Plantation, Florida",2016-03-19,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,Unknown,Unknown,Unknown,26.127585999999997,-80.233104,2016,3,11,Saturday
30,31,Wetumpka Drive-by,"Wetumpka, Alabama",2016-03-19,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,Unknown,Black American or African American,Male,32.543745,-86.211913,2016,3,11,Saturday
31,32,Atlanta Nightclub shooting,,2016-03-15,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,Unknown,Unknown,Unknown,33.748995,-84.387982,2016,3,11,Tuesday
32,33,Florida Family celebration ends in shooting,,2016-03-13,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,Unknown,Unknown,Unknown,26.640628000000003,-81.87230799999999,2016,3,10,Sunday
33,34,"Elberton, Georgia murder-suicide",,2016-03-12,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,Unknown,Unknown,Male,34.111222999999995,-82.86708399999999,2016,3,10,Saturday
34,35,"Trenton, NJ sidewalk shooting",,2016-03-11,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,Unknown,Unknown,Unknown,40.217053,-74.742938,2016,3,10,Friday
35,36,Detroit Drive-by,,2016-03-11,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,Unknown,Unknown,Unknown,42.331427000000005,-83.045754,2016,3,10,Friday
36,37,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",2016-03-09,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman?s 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,Unknown,Unknown,Male,40.440625,-79.995886,2016,3,10,Wednesday
37,38,Wilkinsburg BBQ cookout shootout,,2016-03-09,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,Unknown,Unknown,Male,40.441736,-79.88199399999999,2016,3,10,Wednesday
38,39,"Kansas City, Kansas","Kansas City, Kansas",2016-03-07,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,Unknown,Some other race,Male,39.114053000000006,-94.627464,2016,3,10,Monday
39,40,"Lafayette, LA drive by",,2016-03-07,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",0,4,4,Unknown,Unknown,Unknown,30.224090000000004,-92.01984300000001,2016,3,10,Monday
40,41,Kansas City Home Invasion,,2016-03-07,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,Unknown,Some other race,Male,39.114053000000006,-94.627464,2016,3,10,Monday
41,42,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",2016-03-06,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,Unknown,Some other race,Male,42.391764,-71.03282800000001,2016,3,9,Sunday
42,43,"Roswell, GA Hookah shootout",,2016-03-06,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,Unknown,Black American or African American,Male,34.023243,-84.36155600000001,2016,3,9,Sunday
43,44,Wichita Nightclub shooting,,2016-03-05,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,0,4,4,Unknown,Unknown,Unknown,37.687176,-97.330053,2016,3,9,Saturday
44,45,Detroit Strip Club Shootout,,2016-02-28,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,Unknown,Black American or African American,Male,42.331427000000005,-83.045754,2016,2,8,Sunday
45,46,Riverside restaurant shooting,,2016-02-28,Shooter fired upon group of people in a restaurant parking lot,1,3,4,Unknown,Some other race,Male,33.997197,-117.48548000000001,2016,2,8,Sunday
46,47,"Woodbridge, Virginia","Woodbridge,  Virginia",2016-02-27,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,Unknown,Black American or African American,Male,38.6697,-77.3524,2016,2,8,Saturday
47,48,"Belfair, Washington","Belfair, Washington",2016-02-26,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,Unknown,White American or European American,Male,47.5033,-122.931,2016,2,8,Friday
48,49,Excel Industries mass shooting,"Hesston, Kansas",2016-02-25,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Unclear,Black,M,,,2016,2,8,Thursday
49,50,"Hesston, Kansas","Hesston, Kansas",2016-02-25,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,Unknown,Black American or African American,Male,38.1368,-97.4268,2016,2,8,Thursday
50,51,"Belfair, WA Family murder-suicide",,2016-02-25,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,Unknown,White American or European American,Male,47.451459,-122.82694599999999,2016,2,8,Thursday
51,52,Arizona Family Murder,"Glendale, Arizona",2016-02-23,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,Unknown,White American or European American,Male,33.448377,-112.074037,2016,2,8,Tuesday
52,53,Missouri Highway shooting,,2016-02-21,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,Unknown,Black American or African American,Male,38.771440000000005,-90.370949,2016,2,7,Sunday
53,54,Houston Drive-by,,2016-02-21,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,Unknown,Unknown,Unknown,29.760427000000004,-95.369803,2016,2,7,Sunday
54,55,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2016-02-20,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Unclear,White,M,,,2016,2,7,Saturday
55,56,"Iuka, Mississippi","Iuka, Mississippi",2016-02-20,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,Unknown,White American or European American,Male,34.7404,-88.1383,2016,2,7,Saturday
56,57,Florida Hookah Bar Shooting,,2016-02-20,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,Unknown,Unknown,Unknown,27.950575,-82.457178,2016,2,7,Saturday
57,58,Kalamazoo Uber Driver Spree Killing,,2016-02-20,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,No,White American or European American,Male,42.291707,-85.58722900000001,2016,2,7,Saturday
58,59,"Vallejo, CA car shooting",,2016-02-19,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,Unknown,Unknown,Unknown,38.104085999999995,-122.25663700000001,2016,2,7,Friday
59,60,Michigan school shooting,,2016-02-09,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,Unknown,Black American or African American,Male,43.201126,-86.238946,2016,2,6,Tuesday
60,61,"Orlando, Florida","Orlando, Florida",2016-02-07,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,Unknown,Some other race,Male,28.4541,-81.4646,2016,2,5,Sunday
61,62,Nightclub fight turns into shootout,,2016-02-07,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,Unknown,Unknown,Unknown,43.16103,-77.610922,2016,2,5,Sunday
62,63,"Tampa, FL Strip club shooting",,2016-02-06,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,Unknown,Unknown,Unknown,27.950575,-82.457178,2016,2,5,Saturday
63,64,"Los Angeles, CA street shooting",,2016-02-06,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,Unknown,Unknown,Unknown,34.052234000000006,-118.24368500000001,2016,2,5,Saturday
64,65,Texas teen commits family murder suicide,,2016-02-06,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,Unknown,White American or European American,Male,29.209684000000003,-99.786168,2016,2,5,Saturday
65,66,New Orleans gas station shoot-out,,2016-01-31,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,Unknown,Black American or African American,Male,29.951065999999997,-90.07153199999999,2016,1,4,Sunday
66,67,"Glendale, AZ House Party shooting",,2016-01-30,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,Unknown,Unknown,Male,33.538652,-112.18598700000001,2016,1,4,Saturday
67,68,"Caroline County, VA Family Murder Suicide",,2016-01-29,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,Unknown,Unknown,Male,38.044556,-77.286488,2016,1,4,Friday
68,69,"Chesapeake, Virginia","Chesapeake, Virginia",2016-01-27,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,Yes,White American or European American,Male,36.7921,-76.3293,2016,1,4,Wednesday
69,70,"Perris, CA Mexican restaurant shooting",,2016-01-25,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,Unknown,Unknown,Male,33.782519,-117.22864799999999,2016,1,4,Monday
70,71,Florida family murder,,2016-01-23,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,Unknown,White American or European American,Male,30.754181,-86.572799,2016,1,3,Saturday
71,72,Los Angeles Drive-by,,2016-01-23,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,Unknown,Unknown,Unknown,34.052234000000006,-118.24368500000001,2016,1,3,Saturday
72,73,"Gloucester County, VA, House Party",,2016-01-17,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",1,3,4,Unknown,Black American or African American,Male,37.402640000000005,-76.458559,2016,1,2,Sunday
73,74,"Wilmington, DE robbery",,2016-01-11,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",1,4,5,Unknown,Black American or African American,Male,39.739072,-75.539788,2016,1,2,Monday
74,75,"Roadside in Memphis, Tennessee",,2016-01-07,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,1,3,4,Unknown,Unknown,Unknown,35.149534,-90.04898,2016,1,1,Thursday
75,76,"Residence in Lakeland, Florida",,2016-01-06,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,3,1,4,Unknown,Black American or African American,Male,28.039465000000003,-81.949804,2016,1,1,Wednesday
76,77,"Omaha, Nebraska","Omaha, Nebraska",2015-12-06,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,2,3,5,Unknown,Black American or African American,Male,41.3138,-96.0814,2015,12,49,Sunday
77,78,San Bernardino mass shooting,"San Bernardino, California",2015-12-02,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Unclear,Other,M/F,,,2015,12,49,Wednesday
78,79,"San Bernardino, California","San Bernardino, California",2015-12-02,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",16,21,35,Unknown,Asian American,Male/Female,34.13973446,-117.29424440000001,2015,12,49,Wednesday
79,80,Planned Parenthood clinic,"Colorado Springs, Colorado",2015-11-27,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Unclear,White,M,,,2015,11,48,Friday
80,81,"Columbus, Ohio","Columbus, Ohio",2015-11-23,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",4,1,4,Unknown,White American or European American,Male,39.98861445,-82.98904135,2015,11,48,Monday
81,82,"Minneapolis, Minnesota","Minneapolis, Minnesota",2015-11-23,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",0,5,5,Unknown,White American or European American,Male,44.96358722,-93.26783687,2015,11,48,Monday
82,83,"Tennessee Colony, Texas","Tennessee Colony, Texas",2015-11-15,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",6,0,6,Unknown,White American or European American,Male,31.8076,-95.8069,2015,11,46,Sunday
83,84,"Jacksonville, Florida","Jacksonville, Florida",2015-11-13,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",4,1,4,Unknown,Black American or African American,Male,30.33216122,-81.67576993,2015,11,46,Friday
84,85,"Waycross, GA","Waycross, Georgia",2015-11-07,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",1,2,3,Yes,Black American or African American,Male,31.21094544,-82.35793452,2015,11,45,Saturday
85,86,"Oakland, Maine","Oakland, Maine",2015-11-04,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",4,0,3,Unknown,Unknown,Male,44.54994725,-69.70782299,2015,11,45,Wednesday
86,87,Colorado Springs,"Colorado Springs, Colorado",2015-10-31,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",4,0,3,Unknown,White American or European American,Male,38.86730659,-104.7572279,2015,10,44,Saturday
87,88,"Colerain Township, Ohio","Colerain Township, Ohio",2015-10-21,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",2,1,3,Unknown,White American or European American,Male,39.253268,-84.599655,2015,10,43,Wednesday
88,89,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",2015-10-09,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",1,3,4,Unknown,White American or European American,Male,35.1725658,-111.65854350000001,2015,10,41,Friday
89,90,Umpqua Community College,"Roseburg, Oregon",2015-10-01,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10,7,16,Unknown,Two or more races,Male,43.22205555,-123.3522367,2015,10,40,Thursday
90,91,"Inglis, Florida","Inglis, Florida",2015-10-01,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",3,1,3,Unknown,White American or European American,Male,29.03270634,-82.65919302,2015,10,40,Thursday
91,92,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",2015-09-27,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,0,10,10,Unknown,Black American or African American,Male,33.02912644,-84.7143335,2015,9,39,Sunday
92,93,"Platte, South Dakota","Platte, South Dakota",2015-09-17,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",6,0,5,Unknown,White American or European American,Male,43.38682722,-98.84357239,2015,9,38,Thursday
93,94,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",2015-09-10,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",5,0,4,Yes,White American or European American,Male,47.69618799,-95.42844094,2015,9,37,Thursday
94,95,"Bristol, Tennessee","Bristol, Tennessee",2015-08-29,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",3,1,4,Unknown,White American or European American,Male,36.55605824,-82.21429551,2015,8,35,Saturday
95,96,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",2015-08-26,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",3,1,3,Unknown,Black American or African American,Male,37.27823366,-79.95816104,2015,8,35,Wednesday
