,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
201,202,"Rivermark, Santa Clara, California","Santa Clara, California",2009-03-29,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,No,Asian American,Male,37.36463172,-121.96793149999999,2009,3,13,Sunday
202,203,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",2009-03-29,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",8,2,10,Yes,White American or European American,Male,35.33985609,-79.41381725,2009,3,13,Sunday
203,204,"Geneva County, Alabama","Geneva, Alabama",2009-03-10,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,No,White American or European American,Male,31.04367594,-85.87634659999999,2009,3,11,Tuesday
204,205,"Covina, California","Covina, California",2008-12-24,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,No,White American or European American,Male,34.09026669,-117.88199579999998,2008,12,52,Wednesday
205,206,University of Central Arkansas,"Conway, Arkansas",2008-10-26,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,No,Black American or African American,Male,35.08130744,-92.43278275,2008,10,43,Sunday
206,207,South Mountain Community College,"Phoenix, Arizona",2008-07-24,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,No,Black American or African American,Male,33.57145875,-112.0904854,2008,7,30,Thursday
207,208,Atlantis Plastics,"Henderson, Kentucky",2008-06-25,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,No,White American or European American,Male,37.84040411,-87.57853755,2008,6,26,Wednesday
208,209,Northern Illinois University shooting,"DeKalb, Illinois",2008-02-14,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,Yes,white,Male,41.9294736,-88.7503647,2008,2,7,Thursday
209,210,Kirkwood City Hall,"Kirkwood, Missouri",2008-02-07,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,No,Black American or African American,Male,38.57889169,-90.42023754,2008,2,6,Thursday
210,211,"Carnation, Washington","Carnation, Washington",2007-12-24,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,No,White American or European American,Male/Female,47.64628742,-121.9088524,2007,12,52,Monday
